timestamps,TP9,AF7,AF8,TP10
1641303834.334,74.707,-32.227,-20.020,-49.316
1641303834.338,107.422,-36.621,-24.902,-80.078
1641303834.342,-15.137,-41.504,-30.273,-21.973
1641303834.346,-131.836,-40.039,-23.926,38.574
1641303834.349,-89.844,-36.621,-18.555,22.949
1641303834.353,59.082,-40.039,-20.996,-38.574
1641303834.357,103.516,-44.922,-34.180,-55.664
1641303834.361,3.906,-30.762,-28.809,-8.789
1641303834.365,-110.352,-29.785,-15.625,40.039
1641303834.369,-95.703,-41.992,-21.484,34.668
1641303834.373,39.551,-40.527,-25.391,-31.738
1641303834.377,107.910,-39.062,-27.344,-81.543
1641303834.381,19.531,-38.086,-23.926,-41.504
1641303834.385,-108.887,-34.668,-21.484,26.855
1641303834.389,-119.141,-36.621,-21.484,25.391
1641303834.393,16.113,-37.109,-23.926,-33.691
1641303834.396,113.770,-31.738,-29.297,-74.219
1641303834.400,40.527,-35.156,-30.273,-20.020
1641303834.404,-102.051,-35.645,-23.926,27.344
1641303834.408,-121.094,-34.180,-17.578,19.043
1641303834.412,11.230,-34.668,-19.531,-20.020
1641303834.414,123.047,-30.762,-20.020,-71.777
1641303834.418,62.500,-32.227,-11.719,-51.270
1641303834.422,-93.262,-38.086,-15.625,14.160
1641303834.426,-134.277,-42.969,-20.508,27.832
1641303834.430,-19.043,-35.156,-14.160,-21.484
1641303834.434,88.867,-31.250,-18.555,-82.520
1641303834.438,53.223,-32.227,-17.578,-68.848
1641303834.441,-89.355,-25.391,-10.254,5.371
1641303834.445,-166.992,-26.855,-9.277,27.832
1641303834.449,-67.383,-17.090,0.977,-30.762
1641303834.453,53.223,-21.484,3.418,-122.070
1641303834.457,18.555,-28.320,-16.602,-125.488
1641303834.459,-130.859,-16.113,-17.578,-60.059
1641303834.463,-213.379,2.441,4.395,-43.945
1641303834.467,-162.598,4.883,-0.488,-110.840
1641303834.471,-46.875,6.836,-6.348,-191.895
1641303834.475,-42.480,12.695,2.441,-214.355
1641303834.479,-196.289,9.766,0.488,-165.039
1641303834.483,-311.035,20.020,-1.465,-134.766
1641303834.486,-265.625,33.203,-6.836,-168.457
1641303834.490,-140.137,54.688,7.812,-251.465
1641303834.494,-113.770,67.871,9.277,-284.668
1641303834.498,-233.398,70.312,11.719,-220.703
1641303834.502,-376.465,62.500,20.508,-199.219
1641303834.502,-350.586,51.270,15.625,-229.492
1641303834.506,-194.336,51.270,20.508,-291.992
1641303834.510,-147.461,57.129,18.555,-329.102
1641303834.514,-263.672,59.570,29.297,-276.367
1641303834.518,-387.207,52.246,41.504,-226.074
1641303834.522,-352.051,52.734,46.387,-225.098
1641303834.526,-201.660,52.246,50.293,-270.996
1641303834.529,-147.949,31.250,33.203,-307.129
1641303834.533,-221.680,35.156,26.367,-242.676
1641303834.537,-330.566,44.922,32.227,-179.199
1641303834.541,-331.543,42.480,34.668,-183.594
1641303834.545,-182.129,50.293,46.875,-224.609
1641303834.562,-83.496,48.340,50.293,-265.137
1641303834.566,-155.273,33.203,44.922,-218.750
1641303834.570,-288.574,25.391,38.086,-146.973
1641303834.574,-304.688,22.461,40.039,-141.113
1641303834.578,-175.293,12.207,40.039,-191.406
1641303834.582,-54.199,6.348,29.785,-222.168
1641303834.586,-105.957,0.488,27.344,-174.316
1641303834.589,-254.883,-3.906,35.645,-111.816
1641303834.593,-287.109,-8.301,30.762,-109.375
1641303834.597,-158.203,-10.254,26.367,-145.996
1641303834.601,-39.551,-11.230,28.809,-181.641
1641303834.605,-77.148,-10.742,23.926,-179.199
1641303834.593,-212.891,-11.719,12.695,-122.559
1641303834.597,-270.996,-12.695,7.324,-81.543
1641303834.601,-160.645,-21.973,9.277,-117.676
1641303834.605,-16.602,-23.926,7.324,-177.246
